brand,offer,details,timestamp
"VENUS®","$3.00 OFF","ONE Venus® Original OR Embrace® Disposable Razor Pack 2ct or larger",2017-04-26 14:14:05
"CREST®","50¢ OFF","ONE Crest® Complete Toothpaste 4oz or larger (excludes Cavity Protection, Tartar Protection, Baking Soda and trial/travel size)",2017-04-26 14:14:05
"PUFFS®","50¢ OFF","ONE Puffs® Facial Tissue product 72 sheets or larger OR Multipacks (excludes Puffs® To Go Packs and trial/travel size)",2017-04-26 14:14:05
"OFF!®","SAVE 75¢","on any ONE (1) OFF!® Product (excludes travel and trial sizes)",2017-04-26 14:14:05
"M&Ms® Bottles","SAVE $0.50","on ONE (1) M&Ms® Bottle",2017-04-26 14:14:05
"VENUS®","$3.00 OFF","ONE Simply Venus® Disposable Razor Pack 4ct or larger",2017-04-26 14:14:05
"Scrubbing Bubbles®","SAVE 50¢","on any ONE (1) Scrubbing Bubbles® All Purpose Cleaner with fantastik® product",2017-04-26 14:14:06
"Amopé® Pedi Perfect®","$10.00 OFF","on any ONE (1) Amopé® Pedi Perfect® Electronic Foot File",2017-04-26 14:14:06
"KOTEX®","SAVE $1.00","on any ONE (1) package of U by KOTEX® Ultra Thin Pads (not valid on trial size/travel packs)",2017-04-26 14:14:06
"BOUNCE®","50¢ OFF","ONE Bounce® Product (excludes Bounce® sheets 25, 34 and 40 ct and trial/travel size)",2017-04-26 14:14:06
"PULL-UPS®","GET $2.00 OFF","any ONE (1) PULL-UPS® Training Pants or GOODNITES® Bedtime Pants or Bed Mats (Not valid on 7 ct. or less)",2017-04-26 14:14:06
"CREST®","50¢ OFF","ONE Scope® Mouthwash 237ml or larger (excludes trial/travel size)",2017-04-26 14:14:06
"Scrubbing Bubbles®","SAVE $1.00","on any ONE (1) Scrubbing Bubbles® Toilet cleaning product",2017-04-26 14:14:06
"Meow Mix®","SAVE $0.55","on any one (1) Meow Mix Irresistibles® Cat Treats (2.5oz or larger)",2017-04-26 14:14:07
"CREST®","75¢ OFF","ONE Crest® Pro-Health™ Mouthwash 237ml or larger (excludes trial/travel size)",2017-04-26 14:14:07
"DUNKIN' DONUTS®","SAVE 75¢","on any Dunkin' Donuts® coffee product.",2017-04-26 14:14:07
"Clorox® Bleach","SAVE $0.50","on the purchase of ONE (1) Clorox® Bleach (Redeemable at Walmart)",2017-04-26 14:14:07
"ALWAYS®","$1.50 OFF","TWO Always® Pads AND/OR Liners (30 ct or larger) (excludes trial/travel size)",2017-04-26 14:14:07
"PAMPERS®","$1.50 OFF","ONE Pampers® Cruisers Diapers (excludes trial/travel size)",2017-04-26 14:14:07
"Barilla® ProteinPLUS®","SAVE $0.75","on any TWO (2) Barilla® ProteinPLUS® Products",2017-04-26 14:14:07
"Right Guard®","BUY ONE, GET ONE","Save $3.50 off TWO (2) Right Guard® Xtreme™ Antiperspirants (excluding Right Guard® Sport)",2017-04-26 14:14:07
"all®","SAVE $1.50","off one (1) all® Liquid 184+oz. or Powercore 50ct. (Available at Walmart)",2017-04-26 14:14:07
"ARM & HAMMER™","SAVE $1.00","on ONE (1) ARM & HAMMER™ Single-Dose Laundry Detergent",2017-04-26 14:14:08
"BUITONI®","SAVE $0.75","when you buy ONE (1) BUITONI® Refrigerated Pasta, 9 oz. or Larger",2017-04-26 14:14:08
"Cat Chow®","SAVE $1.05","on one (1) 3.15lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety",2017-04-26 14:14:08
"Glade®","SAVE $1.00","on any TWO (2) Glade® products (excludes Glade® Solid Air Freshener and 8 oz. Room Spray)",2017-04-26 14:14:08
"Tyson®","SAVE $1.00","on any ONE (1) Premium Selects Chicken (Available at Walmart)",2017-04-26 14:14:08
"Amopé® Pedi Perfect®","$15.00 OFF","on any ONE (1) Amopé® Pedi Perfect® Wet and Dry™ Rechargeable Foot File",2017-04-26 14:14:09
"TAMPAX®","$2.00 OFF","TWO Tampax® Pearl Products (18 ct or larger) (excludes trial/travel size)",2017-04-26 14:14:09
"Yoplait","SAVE $1.00 ON ONE","when you buy any flavor Yoplait® Yogurt 8-Pack Fridge Pack",2017-04-26 14:14:09
"Scrubbing Bubbles®","SAVE $2.00","on any TWO (2) Scrubbing Bubbles® Toilet Cleaning Gel (excludes club pack)",2017-04-26 14:14:09
"PUFFS®","25¢ OFF","ONE Puffs® Facial Tissue product 64 sheets or smaller (excludes Puffs® To-Go 10 ct and trial/travel size)",2017-04-26 14:14:09
"L'Oreal Paris","SAVE $2.00","on ANY ONE (1) L'Oreal Paris Eye product",2017-04-26 14:14:09
"all® free clear","SAVE $1.00","on any ONE (1) all® free clear liquid (141oz) or all® mighty pacs® (67ct) (Available at Walmart)",2017-04-26 14:14:09
"CREST®","50¢ OFF","ONE Crest® Pro-Health™ Toothpaste 3.5oz+ (excludes Cavity Protection, Tartar Protection, Baking Soda and trial/ travel size)",2017-04-26 14:14:09
