url,cashback
MAC Cosmetics,3.0%
Claim Jumper,10.0%
Saltgrass Steak House,10.0%
G.H. Bass and Co.,4.0%
Club Monaco,2.5%
Gap,2.0%
EXPRESS,2.5%
Ann Taylor,2.0%
charming charlie,1.0%
Clarks,4.0%
Charlotte Russe,2.0%
Destination XL,2.5%
