url,cashback,date_time
nike.com,12.0%,2017-04-22 15:32:48
dickssportinggoods.com,1.5%,2017-04-22 15:32:48
forever21.com,2.0%,2017-04-22 15:32:48
overstock.com,4.0%,2017-04-22 15:32:48
stubhub.com,3.5%,2017-04-22 15:32:48
newbalance.com,10.0%,2017-04-22 15:32:48
ebags.com,6.0%,2017-04-22 15:32:48
bedbathandbeyond.com,2.0%,2017-04-22 15:32:48
toryburch.com,4.0%,2017-04-22 15:32:48
carters.com,2.5%,2017-04-22 15:32:48
katespade.com,3.5%,2017-04-22 15:32:48
lanebryant.com,5.0%,2017-04-22 15:32:48
magazines.com,40.0%,2017-04-22 15:32:48
verabradley.com,3.0%,2017-04-22 15:32:48
lowes.com,2.0%,2017-04-22 15:32:48
officedepot.com,4.0%,2017-04-22 15:32:48
finishline.com,7.0%,2017-04-22 15:32:48
famousfootwear.com,2.0%,2017-04-22 15:32:48
anntaylor.com,2.0%,2017-04-22 15:32:48
newyorkcompany.com,2.5%,2017-04-22 15:32:48
hsn.com,2.0%,2017-04-22 15:32:48
michaelkors.com,3.0%,2017-04-22 15:32:48
sears.com,1.5%,2017-04-22 15:32:48
champssports.com,5.0%,2017-04-22 15:32:48
disneystore.com,3.0%,2017-04-22 15:32:48
barneysnewyork.com,6.0%,2017-04-22 15:32:48
lordandtaylor.com,8.0%,2017-04-22 15:32:48
saksfifthavenue.com,4.0%,2017-04-22 15:32:48
saksfifthavenueoff5th.com,4.0%,2017-04-22 15:32:48
aerieforamericaneagle.com,4.0%,2017-04-22 15:32:48
skinstore.com,4.0%,2017-04-22 15:32:48
bananarepublic.com,2.0%,2017-04-22 15:32:48
dellsmallbusiness.com,10.0%,2017-04-22 15:32:48
diesel.com,3.0%,2017-04-22 15:32:48
samsung.com,2.0%,2017-04-22 15:32:48
clinique.com,4.0%,2017-04-22 15:32:48
lagarconne.com,3.0%,2017-04-22 15:32:48
hannaandersson.com,2.0%,2017-04-22 15:32:48
loccitane.com,3.0%,2017-04-22 15:32:48
pier1imports.com,2.0%,2017-04-22 15:32:48
loft.com,2.0%,2017-04-22 15:32:48
landsend.com,4.0%,2017-04-22 15:32:48
expedia.com,10.0%,2017-04-22 15:32:48
sephora.com,3.0%,2017-04-22 15:32:48
bananarepublic.com,2.0%,2017-04-22 15:32:48
justice.com,2.0%,2017-04-22 15:32:48
gymboree.com,1.0%,2017-04-22 15:32:48
oshkoshbgosh.com,2.5%,2017-04-22 15:32:48
petco.com,4.0%,2017-04-22 15:32:48
thehonestcompany.com,2.5%,2017-04-22 15:32:48
origins.com,1.5%,2017-04-22 15:32:48
kiehls.com,4.0%,2017-04-22 15:32:48
starbucksstore.com,2.5%,2017-04-22 15:32:48
toysrus.com,1.0%,2017-04-22 15:32:48
philosophy.com,2.5%,2017-04-22 15:32:48
americaneagle.com,4.0%,2017-04-22 15:32:48
hotels.com,3.0%,2017-04-22 15:32:48
eastbay.com,7.0%,2017-04-22 15:32:48
priceline.com,10.0%,2017-04-22 15:32:48
underarmour.com,6.0%,2017-04-22 15:32:48
ralphlauren.com,2.5%,2017-04-22 15:32:48
aveda.com,4.0%,2017-04-22 15:32:48
torrid.com,4.0%,2017-04-22 15:32:48
michaels.com,2.0%,2017-04-22 15:32:48
joesjeans.com,9.5%,2017-04-22 15:33:03
giltgroupe.com,8.0%,2017-04-22 15:33:03
sachinandbabi.com,8.0%,2017-04-22 15:33:03
petit-bateau.com,7.0%,2017-04-22 15:33:03
agjeans.com,6.0%,2017-04-22 15:33:03
aliceolivia.com,6.0%,2017-04-22 15:33:03
barneysnewyork.com,6.0%,2017-04-22 15:33:03
cledepeaubeaute.com,6.0%,2017-04-22 15:33:03
coach.com,6.0%,2017-04-22 15:33:03
forzieri.com,6.0%,2017-04-22 15:33:03
johnhardy.com,6.0%,2017-04-22 15:33:03
neimanmarcus.com,6.0%,2017-04-22 15:33:03
nicolemiller.com,6.0%,2017-04-22 15:33:03
algenist.com,5.0%,2017-04-22 15:33:04
clarins.com,5.0%,2017-04-22 15:33:04
lecreuset.com,5.0%,2017-04-22 15:33:04
millyny.com,5.0%,2017-04-22 15:33:04
net-a-porter.com,5.0%,2017-04-22 15:33:04
perriconemd.com,5.0%,2017-04-22 15:33:04
pevonia.com,5.0%,2017-04-22 15:33:04
rag-bone.com,5.0%,2017-04-22 15:33:04
stuartweitzman.com,5.0%,2017-04-22 15:33:04
briggs-riley.com,4.5%,2017-04-22 15:33:04
elevtd.com,4.5%,2017-04-22 15:33:04
luisaviaroma.com,4.5%,2017-04-22 15:33:04
bergdorfgoodman.com,4.0%,2017-04-22 15:33:04
bobbibrowncosmetics.com,4.0%,2017-04-22 15:33:04
dkny.com,4.0%,2017-04-22 15:33:04
dooneybourke.com,4.0%,2017-04-22 15:33:05
eastdane.com,4.0%,2017-04-22 15:33:05
ghurka.com,4.0%,2017-04-22 15:33:05
giorgioarmanibeauty.com,4.0%,2017-04-22 15:33:05
horchow.com,4.0%,2017-04-22 15:33:05
intermix.com,4.0%,2017-04-22 15:33:05
jbrand.com,4.0%,2017-04-22 15:33:05
jimmychoo.com,4.0%,2017-04-22 15:33:05
johnvarvatos.com,4.0%,2017-04-22 15:33:05
jurlique.com,4.0%,2017-04-22 15:33:05
kiehls.com,4.0%,2017-04-22 15:33:05
lancome.com,4.0%,2017-04-22 15:33:05
marcjacobsbeauty.com,4.0%,2017-04-22 15:33:05
neimanmarcuslastcall.com,4.0%,2017-04-22 15:33:05
orchardmile.com,4.0%,2017-04-22 15:33:05
ray-ban.com,4.0%,2017-04-22 15:33:05
revive.com,4.0%,2017-04-22 15:33:06
saksfifthavenue.com,4.0%,2017-04-22 15:33:06
saksfifthavenueoff5th.com,4.0%,2017-04-22 15:33:06
shiseido.com,4.0%,2017-04-22 15:33:06
stylebop.com,4.0%,2017-04-22 15:33:06
surlatable.com,4.0%,2017-04-22 15:33:06
toryburch.com,4.0%,2017-04-22 15:33:06
veronicabeard.com,4.0%,2017-04-22 15:33:06
waterford.com,4.0%,2017-04-22 15:33:06
wedgwood.com,4.0%,2017-04-22 15:33:06
index.htm,4.0%,2017-04-22 15:33:06
alexisbittar.com,3.5%,2017-04-22 15:33:06
belstaff.com,3.5%,2017-04-22 15:33:06
calvinklein.com,3.5%,2017-04-22 15:33:06
dianevonfurstenberg.com,3.5%,2017-04-22 15:33:06
effyjewelers.com,3.5%,2017-04-22 15:33:07
frankandoak.com,3.5%,2017-04-22 15:33:07
halston.com,3.5%,2017-04-22 15:33:07
hugoboss.com,3.5%,2017-04-22 15:33:07
joie.com,3.5%,2017-04-22 15:33:07
katespade.com,3.5%,2017-04-22 15:33:07
marahoffman.com,3.5%,2017-04-22 15:33:07
matchesfashion.com,3.5%,2017-04-22 15:33:07
armani.com,3.0%,2017-04-22 15:33:07
barneyswarehouse.com,3.0%,2017-04-22 15:33:07
bloomingdales.com,3.0%,2017-04-22 15:33:07
darphin.com,3.0%,2017-04-22 15:33:07
esteelauder.com,3.0%,2017-04-22 15:33:07
farfetch.com,3.0%,2017-04-22 15:33:07
helmutlang.com,3.0%,2017-04-22 15:33:07
jomalone.com,3.0%,2017-04-22 15:33:08
judithripka.com,3.0%,2017-04-22 15:33:08
kellywearstler.com,3.0%,2017-04-22 15:33:08
loccitane.com,3.0%,2017-04-22 15:33:08
lagarconne.com,3.0%,2017-04-22 15:33:08
lamer.com,3.0%,2017-04-22 15:33:08
michaelkors.com,3.0%,2017-04-22 15:33:08
modaoperandi.com,3.0%,2017-04-22 15:33:08
moschino.com,3.0%,2017-04-22 15:33:08
mrporter.com,3.0%,2017-04-22 15:33:08
mytheresa.com,3.0%,2017-04-22 15:33:08
theoutnet.com,3.0%,2017-04-22 15:33:08
reissonline.com,3.0%,2017-04-22 15:33:08
sephora.com,3.0%,2017-04-22 15:33:08
shuuemura.com,3.0%,2017-04-22 15:33:08
theory.com,3.0%,2017-04-22 15:33:09
thomaspink.com,3.0%,2017-04-22 15:33:09
vince.com,3.0%,2017-04-22 15:33:09
philliplim.com,3.0%,2017-04-22 15:33:09
7forallmankind.com,3.0%,2017-04-22 15:33:09
colehaan.com,2.5%,2017-04-22 15:33:09
designwithinreach.com,2.5%,2017-04-22 15:33:09
marcjacobs.com,2.5%,2017-04-22 15:33:09
ralphlauren.com,2.5%,2017-04-22 15:33:09
spacenk.com,2.5%,2017-04-22 15:33:10
tumiluggage.com,2.5%,2017-04-22 15:33:10
allsaints.com,2.0%,2017-04-22 15:33:10
lululemon.com,2.0%,2017-04-22 15:33:10
oscardelarenta2.com,2.0%,2017-04-22 15:33:10
renttherunway.com,2.0%,2017-04-22 15:33:10
shopbop.com,2.0%,2017-04-22 15:33:10
totokaelo.com,1.5%,2017-04-22 15:33:10
yoox.com,1.5%,2017-04-22 15:33:10
anthropologie.com,1.0%,2017-04-22 15:33:10
bluenile.com,1.0%,2017-04-22 15:33:10
nordstromrack.com,1.0%,2017-04-22 15:33:10
tedbaker-london.com,1.0%,2017-04-22 15:33:10
Macy's,2.5%,2017-04-22 15:33:24
Splendid,4.0%,2017-04-22 15:33:24
American Eagle Outfitters,2.0%,2017-04-22 15:33:24
Petco,4.0%,2017-04-22 15:33:24
buybuy BABY,2.0%,2017-04-22 15:33:24
Athleta,2.0%,2017-04-22 15:33:24
Saks Fifth Avenue,4.0%,2017-04-22 15:33:24
John Varvatos,5.0%,2017-04-22 15:33:24
Men's Wearhouse,4.0%,2017-04-22 15:33:24
The Body Shop,4.0%,2017-04-22 15:33:24
Jos. A. Bank,4.0%,2017-04-22 15:33:24
Johnston & Murphy,5.0%,2017-04-22 15:33:24
Cost Plus World Market,2.0%,2017-04-22 15:33:25
Moosejaw,5.0%,2017-04-22 15:33:25
Bed Bath and Beyond,2.0%,2017-04-22 15:33:25
Fashion to Figure,2.5%,2017-04-22 15:33:25
GNC,5.0%,2017-04-22 15:33:25
Crate and Barrel,1.0%,2017-04-22 15:33:25
CB2,1.0%,2017-04-22 15:33:25
Lord & Taylor,4.0%,2017-04-22 15:33:25
Saks OFF 5TH,4.0%,2017-04-22 15:33:25
Rebecca Taylor,3.5%,2017-04-22 15:33:25
Tervis,4.0%,2017-04-22 15:33:25
New York & Company,2.5%,2017-04-22 15:33:25
Plow and Hearth,4.0%,2017-04-22 15:33:25
MAC Cosmetics,3.0%,2017-04-22 15:33:25
Claim Jumper,10.0%,2017-04-22 15:33:25
Saltgrass Steak House,10.0%,2017-04-22 15:33:25
G.H. Bass and Co.,4.0%,2017-04-22 15:33:25
Club Monaco,2.5%,2017-04-22 15:33:25
Gap,2.0%,2017-04-22 15:33:25
EXPRESS,2.5%,2017-04-22 15:33:26
Ann Taylor,2.0%,2017-04-22 15:33:26
charming charlie,1.0%,2017-04-22 15:33:26
Clarks,4.0%,2017-04-22 15:33:26
Charlotte Russe,2.0%,2017-04-22 15:33:26
Destination XL,2.5%,2017-04-22 15:33:26
Under Armour,3.0%,2017-04-22 15:33:26
Sunglass Hut,4.0%,2017-04-22 15:33:26
