url,cashback,date_time
championusa.com,6.0%,2017-04-22 15:32:43
macys.com,6.0%,2017-04-22 15:32:43
barneysnewyork.com,6.0%,2017-04-22 15:32:43
finishline.com,7.0%,2017-04-22 15:32:43
nike.com,12.0%,2017-04-22 15:32:43
athleta.com,6.0%,2017-04-22 15:32:43
landsend.com,4.0%,2017-04-22 15:32:43
puma.com,9.0%,2017-04-22 15:32:43
americaneagle.com,4.0%,2017-04-22 15:32:43
lanebryant.com,5.0%,2017-04-22 15:32:43
newbalance.com,10.0%,2017-04-22 15:32:43
avenue.com,7.0%,2017-04-22 15:32:43
underarmour.com,6.0%,2017-04-22 15:32:43
lordandtaylor.com,8.0%,2017-04-22 15:32:43
giltgroupe.com,8.0%,2017-04-22 15:32:43
misfit.com,15.0%,2017-04-22 15:32:43
onehanesplace.com,6.0%,2017-04-22 15:32:43
groupon.htm,9.0%,2017-04-22 15:32:43
magazines.com,40.0%,2017-04-22 15:32:43
eastbay.com,7.0%,2017-04-22 15:32:43
neimanmarcus.com,6.0%,2017-04-22 15:32:43
jcpenney.com,10.0%,2017-04-22 15:32:43
kohls.com,6.0%,2017-04-22 15:32:43
lululemon.com,2.0%,2017-04-22 15:32:43
jcrewfactory.com,1.5%,2017-04-22 15:32:48
walmart.com,1.0%,2017-04-22 15:32:48
minted.com,3.0%,2017-04-22 15:32:48
livingsocial.htm,3.0%,2017-04-22 15:32:48
macys.com,6.0%,2017-04-22 15:32:48
walgreens.com,7.0%,2017-04-22 15:32:48
giltgroupe.com,8.0%,2017-04-22 15:32:48
bareminerals.com,5.0%,2017-04-22 15:32:48
teavana.com,3.0%,2017-04-22 15:32:48
uniformcity.com,7.0%,2017-04-22 15:32:48
footlocker.com,5.0%,2017-04-22 15:32:48
ashleystewart.com,2.5%,2017-04-22 15:32:48
tidyliving.com,4.0%,2017-04-22 15:32:48
colehaan.com,2.5%,2017-04-22 15:32:48
ashleyfurniture.com,3.5%,2017-04-22 15:32:48
homedecoratorscollection.com,3.5%,2017-04-22 15:32:48
ebay,5.0%,2017-04-22 15:32:48
kohls.com,6.0%,2017-04-22 15:32:48
bloomingdales.com,3.0%,2017-04-22 15:32:48
jcpenney.com,10.0%,2017-04-22 15:32:48
toms.com,4.0%,2017-04-22 15:32:48
jcrew.com,1.5%,2017-04-22 15:32:48
thechildrensplace.com,1.5%,2017-04-22 15:32:48
ultabeauty.com,3.0%,2017-04-22 15:32:48
