url,cashback,date_time
saksfifthavenue.com,4.0%,2017-04-24 13:44:15
saksfifthavenueoff5th.com,4.0%,2017-04-24 13:44:15
sephora.com,4.0%,2017-04-24 13:44:15
shiseido.com,4.0%,2017-04-24 13:44:15
stylebop.com,4.0%,2017-04-24 13:44:15
surlatable.com,4.0%,2017-04-24 13:44:15
toryburch.com,4.0%,2017-04-24 13:44:15
veronicabeard.com,4.0%,2017-04-24 13:44:15
waterford.com,4.0%,2017-04-24 13:44:15
wedgwood.com,4.0%,2017-04-24 13:44:15
index.htm,4.0%,2017-04-24 13:44:16
alexisbittar.com,3.5%,2017-04-24 13:44:16
belstaff.com,3.5%,2017-04-24 13:44:16
calvinklein.com,3.5%,2017-04-24 13:44:16
dianevonfurstenberg.com,3.5%,2017-04-24 13:44:16
effyjewelers.com,3.5%,2017-04-24 13:44:16
frankandoak.com,3.5%,2017-04-24 13:44:16
halston.com,3.5%,2017-04-24 13:44:16
hugoboss.com,3.5%,2017-04-24 13:44:16
joie.com,3.5%,2017-04-24 13:44:16
katespade.com,3.5%,2017-04-24 13:44:16
marahoffman.com,3.5%,2017-04-24 13:44:16
matchesfashion.com,3.5%,2017-04-24 13:44:16
armani.com,3.0%,2017-04-24 13:44:16
barneyswarehouse.com,3.0%,2017-04-24 13:44:16
bloomingdales.com,3.0%,2017-04-24 13:44:17
darphin.com,3.0%,2017-04-24 13:44:17
esteelauder.com,3.0%,2017-04-24 13:44:17
farfetch.com,3.0%,2017-04-24 13:44:17
helmutlang.com,3.0%,2017-04-24 13:44:17
jomalone.com,3.0%,2017-04-24 13:44:17
judithripka.com,3.0%,2017-04-24 13:44:17
kellywearstler.com,3.0%,2017-04-24 13:44:17
lagarconne.com,3.0%,2017-04-24 13:44:17
lamer.com,3.0%,2017-04-24 13:44:17
michaelkors.com,3.0%,2017-04-24 13:44:17
modaoperandi.com,3.0%,2017-04-24 13:44:17
moschino.com,3.0%,2017-04-24 13:44:17
mrporter.com,3.0%,2017-04-24 13:44:17
mytheresa.com,3.0%,2017-04-24 13:44:18
theoutnet.com,3.0%,2017-04-24 13:44:18
reissonline.com,3.0%,2017-04-24 13:44:18
shuuemura.com,3.0%,2017-04-24 13:44:18
theory.com,3.0%,2017-04-24 13:44:18
thomaspink.com,3.0%,2017-04-24 13:44:18
vince.com,3.0%,2017-04-24 13:44:18
philliplim.com,3.0%,2017-04-24 13:44:18
7forallmankind.com,3.0%,2017-04-24 13:44:18
colehaan.com,2.5%,2017-04-24 13:44:18
designwithinreach.com,2.5%,2017-04-24 13:44:18
marcjacobs.com,2.5%,2017-04-24 13:44:18
ralphlauren.com,2.5%,2017-04-24 13:44:18
spacenk.com,2.5%,2017-04-24 13:44:19
tumiluggage.com,2.5%,2017-04-24 13:44:19
allsaints.com,2.0%,2017-04-24 13:44:19
lululemon.com,2.0%,2017-04-24 13:44:19
oscardelarenta2.com,2.0%,2017-04-24 13:44:19
renttherunway.com,2.0%,2017-04-24 13:44:19
shopbop.com,2.0%,2017-04-24 13:44:19
totokaelo.com,1.5%,2017-04-24 13:44:19
yoox.com,1.5%,2017-04-24 13:44:19
anthropologie.com,1.0%,2017-04-24 13:44:19
bluenile.com,1.0%,2017-04-24 13:44:19
nordstromrack.com,1.0%,2017-04-24 13:44:19
tedbaker-london.com,1.0%,2017-04-24 13:44:19
Macy's,2.5%,2017-04-24 13:44:33
Splendid,4.0%,2017-04-24 13:44:33
American Eagle Outfitters,2.0%,2017-04-24 13:44:33
Petco,4.0%,2017-04-24 13:44:33
buybuy BABY,2.0%,2017-04-24 13:44:33
Athleta,2.0%,2017-04-24 13:44:33
Saks Fifth Avenue,4.0%,2017-04-24 13:44:33
John Varvatos,5.0%,2017-04-24 13:44:33
Men's Wearhouse,4.0%,2017-04-24 13:44:33
The Body Shop,4.0%,2017-04-24 13:44:33
Jos. A. Bank,4.0%,2017-04-24 13:44:33
Johnston & Murphy,5.0%,2017-04-24 13:44:34
Cost Plus World Market,2.0%,2017-04-24 13:44:34
Moosejaw,5.0%,2017-04-24 13:44:34
Bed Bath and Beyond,2.0%,2017-04-24 13:44:34
Fashion to Figure,2.5%,2017-04-24 13:44:34
GNC,5.0%,2017-04-24 13:44:34
Crate and Barrel,1.0%,2017-04-24 13:44:34
CB2,1.0%,2017-04-24 13:44:34
Lord & Taylor,4.0%,2017-04-24 13:44:34
Saks OFF 5TH,4.0%,2017-04-24 13:44:34
Rebecca Taylor,3.5%,2017-04-24 13:44:34
Tervis,4.0%,2017-04-24 13:44:34
New York & Company,2.5%,2017-04-24 13:44:34
Plow and Hearth,4.0%,2017-04-24 13:44:34
MAC Cosmetics,3.0%,2017-04-24 13:44:34
Claim Jumper,10.0%,2017-04-24 13:44:34
Saltgrass Steak House,10.0%,2017-04-24 13:44:35
G.H. Bass and Co.,4.0%,2017-04-24 13:44:35
Club Monaco,2.5%,2017-04-24 13:44:35
Gap,2.0%,2017-04-24 13:44:35
EXPRESS,2.5%,2017-04-24 13:44:35
Ann Taylor,2.0%,2017-04-24 13:44:35
charming charlie,1.0%,2017-04-24 13:44:35
Clarks,4.0%,2017-04-24 13:44:35
Charlotte Russe,2.0%,2017-04-24 13:44:35
Destination XL,2.5%,2017-04-24 13:44:35
Under Armour,3.0%,2017-04-24 13:44:35
Sunglass Hut,4.0%,2017-04-24 13:44:35
