url,cashback,date_time
lanebryant.com,5.0%,2017-04-23 13:02:18
eastbay.com,7.0%,2017-04-23 13:02:19
neimanmarcus.com,6.0%,2017-04-23 13:02:19
magazines.com,40.0%,2017-04-23 13:02:19
newbalance.com,10.0%,2017-04-23 13:02:19
barneysnewyork.com,6.0%,2017-04-23 13:02:19
underarmour.com,6.0%,2017-04-23 13:02:19
lululemon.com,2.0%,2017-04-23 13:02:19
giltgroupe.com,8.0%,2017-04-23 13:02:19
kohls.com,6.0%,2017-04-23 13:02:19
finishline.com,7.0%,2017-04-23 13:02:19
athleta.com,6.0%,2017-04-23 13:02:19
groupon.htm,9.0%,2017-04-23 13:02:19
nike.com,12.0%,2017-04-23 13:02:19
americaneagle.com,4.0%,2017-04-23 13:02:19
jcpenney.com,10.0%,2017-04-23 13:02:19
landsend.com,4.0%,2017-04-23 13:02:19
avenue.com,7.0%,2017-04-23 13:02:19
macys.com,6.0%,2017-04-23 13:02:19
onehanesplace.com,6.0%,2017-04-23 13:02:19
puma.com,9.0%,2017-04-23 13:02:19
championusa.com,6.0%,2017-04-23 13:02:19
lordandtaylor.com,8.0%,2017-04-23 13:02:19
misfit.com,15.0%,2017-04-23 13:02:19
jcrewfactory.com,1.5%,2017-04-23 13:02:24
walmart.com,1.0%,2017-04-23 13:02:24
minted.com,3.0%,2017-04-23 13:02:24
livingsocial.htm,3.0%,2017-04-23 13:02:24
macys.com,6.0%,2017-04-23 13:02:24
walgreens.com,7.0%,2017-04-23 13:02:24
giltgroupe.com,8.0%,2017-04-23 13:02:24
bareminerals.com,5.0%,2017-04-23 13:02:24
teavana.com,3.0%,2017-04-23 13:02:24
uniformcity.com,7.0%,2017-04-23 13:02:24
footlocker.com,5.0%,2017-04-23 13:02:24
ashleystewart.com,2.5%,2017-04-23 13:02:24
tidyliving.com,4.0%,2017-04-23 13:02:24
colehaan.com,2.5%,2017-04-23 13:02:24
ashleyfurniture.com,3.5%,2017-04-23 13:02:24
