brand,cashback,offer,details,url,source,date_time
"sephora","4.0%","+ 4.0% Cash Back","Free fragrance deluxe sample with $25 order.","sephora.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"shindigz","6.0%","+ 6.0% Cash Back","Save an Extra 30% off Already Reduced Clearance items.","shindigz.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"tervis","4.0%","+ 4.0% Cash Back","Mother's Day - Buy 3, Get 1 Free (Excluding Stainless Steel) at tervis.com!","tervis.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"babiesrus","1.0%","+ 1.0% Cash Back","50% off Carter's clothing, sleepwear, accessories and shoes.","babiesrus.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"quill","3.0%","+ 3.0% Cash Back","$20 off when you spend $125","quill.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"gap","6.0%","+ 6.0% Cash Back","Up to 50% off Everything and Extra 20% off order.","gap.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"clinique","4.0%","+ 4.0% Cash Back","Free 7-piece gift with $28 order + more treats.","clinique.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"sears","1.5%","+ 1.5% Cash Back","Extra $10 off $50+ Shoes for the Family.","sears.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"disneystore","3.0%","+ 3.0% Cash Back","$9 Kids Tees at Disney Store!","disneystore.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"origins","4.0%","+ 4.0% Cash Back","Spend $45, get $20 off, Spend $70 ($50-post discount), get $20 off plus pick 5 free samples, Spend $85 ($65 post-discount), get $20 off, plus pick 5 free samples, plus a deluxe cleanser sample","origins.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"walgreens","8.0%","+ Up to 8.0% Cash Back","40% off Everything Photo.","walgreens.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"aerieforamericaneagle","2.0%","+ 2.0% Cash Back","Semi-exclusive through 5/3! Stock up & feel good with 2 bralettes for just $15 only at Aerie.com. Use code BRALETTESALE.","aerieforamericaneagle.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"qvc","1.0%","+ 1.0% Cash Back","Kitchen & Food Mother's Day Gifts & Special Offers","qvc.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"jet","3.0%","+ 3.0% Cash Back","20% off select Grocery Products.","jet.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"hotels","3.0%","+ Up to 3.0% Cash Back","$40 off $300 hotel reservations.","hotels.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"teavana","6.0%","+ 6.0% Cash Back","Friends & Family Sale - 30% off sitewide.","teavana.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"vistaprint","4.0%","+ 4.0% Cash Back","Up to 25% off Signage and Marketing Materials.","vistaprint.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"pier1imports","2.0%","+ 2.0% Cash Back","Letters and Words Decor 20% Off.","pier1imports.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"harryanddavid","3.5%","+ 3.5% Cash Back","Enjoy Up to 42% off Select Chocolates!","harryanddavid.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"keurig","4.0%","+ Up to 4.0% Cash Back","20% off accessories.","keurig.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"kiehls","8.0%","+ 8.0% Cash Back","Enjoy 4 Free Deluxe Samples, Free shipping and Gift Boxing with Your $65+ order.","kiehls.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"americaneagle","2.0%","+ 2.0% Cash Back","Limited Time Only! Buy 1 Get 50% off Shorts at AE.com! Some exclusions apply.","americaneagle.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"bananarepublic","2.0%","+ 2.0% Cash Back","30% off any order.","bananarepublic.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"lancome","8.0%","+ 8.0% Cash Back","One Day Sale! Receive a 5-piece sample and Free Shipping on your order of $49+. Bonus: receive an additional sample on orders of $75+.","lancome.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
