brand,cashback_today,cashback_historical,diff,offer,details,url,source
"babiesrus","1.0%","1.0%","0.0%","+ 1.0% Cash Back","50% off Carter's clothing, sleepwear, accessories and shoes.","babiesrus.com","https://www.ebates.com/deals.htm"
"clinique","6.0%","6.0%","0.0%","+ 6.0% Cash Back","Free 7-piece gift with $28 order + more treats.","clinique.com","https://www.ebates.com/deals.htm"
"walgreens","8.0%","8.0%","0.0%","+ Up to 8.0% Cash Back","40% off Everything Photo.","walgreens.com","https://www.ebates.com/deals.htm"
"qvc","1.0%","1.0%","0.0%","+ 1.0% Cash Back","Kitchen & Food Mother's Day Gifts & Special Offers.","qvc.com","https://www.ebates.com/deals.htm"
"jet","3.0%","3.0%","0.0%","+ 3.0% Cash Back","20% off select Grocery Products.","jet.com","https://www.ebates.com/deals.htm"
"hotels","3.0%","3.0%","0.0%","+ Up to 3.0% Cash Back","$40 off $300 hotel reservations.","hotels.com","https://www.ebates.com/deals.htm"
"teavana","6.0%","6.0%","0.0%","+ 6.0% Cash Back","Friends & Family Sale - 30% off sitewide.","teavana.com","https://www.ebates.com/deals.htm"
"vistaprint","4.0%","4.0%","0.0%","+ 4.0% Cash Back","Up to 25% off Signage and Marketing Materials.","vistaprint.com","https://www.ebates.com/deals.htm"
"harryanddavid","3.5%","3.5%","0.0%","+ 3.5% Cash Back","Enjoy Up to 42% off Select Chocolates!","harryanddavid.com","https://www.ebates.com/deals.htm"
"keurig","4.0%","4.0%","0.0%","+ Up to 4.0% Cash Back","20% off accessories.","keurig.com","https://www.ebates.com/deals.htm"
"bloomingdales","3.0%","3.0%","0.0%","+ 3.0% Cash Back","Save 30-40% on a great selection of Men's designer clothing and accessories! PLUS, save an extra 50% on almost all permanently reduced Men's merchandise for a total savings of 60-70%.","bloomingdales.com","https://www.ebates.com/deals.htm"
"kiehls","8.0%","8.0%","0.0%","+ 8.0% Cash Back","Enjoy 4 Free Deluxe Samples, Free shipping and Gift Boxing with Your $65+ order.","kiehls.com","https://www.ebates.com/deals.htm"
"bananarepublic","2.0%","2.0%","0.0%","+ 2.0% Cash Back","30% off any order.","bananarepublic.com","https://www.ebates.com/deals.htm"
"thebodyshop","4.0%","4.0%","0.0%","+ 4.0% Cash Back","Buy 3 Get 3 Free on select Items.","thebodyshop.com","https://www.ebates.com/deals.htm"
"shopbop","2.0%","2.0%","0.0%","+ 2.0% Cash Back","Surprise Sale! Up to 40% off select styles!","shopbop.com","https://www.ebates.com/deals.htm"
"canon","2.5%","2.5%","0.0%","+ Up to 2.5% Cash Back","Save on Mother's Day SL1 Camera Bundles!","canon.com","https://www.ebates.com/deals.htm"
"dellconsumer","2.0%","2.0%","0.0%","+ 2.0% Cash Back","Up to 50% off electronics for your grad.","dellconsumer.com","https://www.ebates.com/deals.htm"
"lanebryant","2.5%","2.5%","0.0%","+ 2.5% Cash Back","$50 off $100.","lanebryant.com","https://www.ebates.com/deals.htm"
"landsend","2.0%","2.0%","0.0%","+ 2.0% Cash Back","40% off swimwear, beach towels, totes & water shoes","landsend.com","https://www.ebates.com/deals.htm"
"lowes","3.0%","3.0%","0.0%","+ 3.0% Cash Back","Hitachi Days: Up to 30% off select In-Stock Hitachi Tools and Fasteners.","lowes.com","https://www.ebates.com/deals.htm"
"newbalance","5.0%","5.0%","0.0%","+ 5.0% Cash Back","$10 off $75+ order.","newbalance.com","https://www.ebates.com/deals.htm"
"carters","5.0%","5.0%","0.0%","+ 5.0% Cash Back","Biggest Baby Sale of the Year: Up to 70% off + free shipping at $50.","carters.com","https://www.ebates.com/deals.htm"
"thechildrensplace","1.5%","1.5%","0.0%","+ 1.5% Cash Back","50% off Matchables and Free shipping.","thechildrensplace.com","https://www.ebates.com/deals.htm"
"saksfifthavenueoff5th","4.0%","4.0%","0.0%","+ 4.0% Cash Back","Online only! Take an extra 20% off.","saksfifthavenueoff5th.com","https://www.ebates.com/deals.htm"
"katespade","3.5%","3.5%","0.0%","+ 3.5% Cash Back","Mother's day gift guide! gifts under $50 including tech accessories, home decor and more at katespade.com!","katespade.com","https://www.ebates.com/deals.htm"
"orbitz","9.0%","9.0%","0.0%","+ Up to 9.0% Cash Back","Get An Extra 15% off select Hotels.","orbitz.com","https://www.ebates.com/deals.htm"
"tommyhilfiger","2.5%","2.5%","0.0%","+ 2.5% Cash Back","Friends and Family 30% off at Tommy.com","tommyhilfiger.com","https://www.ebates.com/deals.htm"
"bobbibrowncosmetics","8.0%","8.0%","0.0%","+ 8.0% Cash Back","40% Off Flash Event! 40% off Select items. Prices are as marked.","bobbibrowncosmetics.com","https://www.ebates.com/deals.htm"
"jcrewfactory","1.5%","1.5%","0.0%","+ 1.5% Cash Back","Up to 60% off plus Women's Tops Under $35, Men's Shirts Under $30 and Kid's Non-Boring Basics Under $25.","jcrewfactory.com","https://www.ebates.com/deals.htm"
"neimanmarcuslastcall","4.0%","4.0%","0.0%","+ 4.0% Cash Back","30% off sitewide.","neimanmarcuslastcall.com","https://www.ebates.com/deals.htm"
"godiva","8.0%","8.0%","0.0%","+ 8.0% Cash Back","Buy More Save More, Spend $50 Get $10 Off, Spend $75 Get $20 Off, Spend $100 Get $30 Off.","godiva.com","https://www.ebates.com/deals.htm"
"sears","1.5%","1.5%","0.0%","+ 1.5% Cash Back","Extra 30% off $50 clothing, accessories, sleepwear & lingerie.","sears.com","https://www.ebates.com/deals.htm"
"lancome","8.0%","8.0%","0.0%","+ 8.0% Cash Back","4 Samples and Free shipping with $49+ order and Bonus Sample with $75+ order.","lancome.com","https://www.ebates.com/deals.htm"
"amorepacific","9.0%","9.0%","0.0%","9.0% Cash Back","Get a great deal from See all AMOREPACIFIC plus  9.0% Cash Back  from Ebates!","amorepacific.com","https://www.ebates.com/luxury/all-stores.htm"
"johnhardy","9.0%","9.0%","0.0%","9.0% Cash Back","Get a great deal from See all John Hardy plus  9.0% Cash Back  from Ebates!","johnhardy.com","https://www.ebates.com/luxury/all-stores.htm"
"bobbibrowncosmetics","8.0%","8.0%","0.0%","8.0% Cash Back","Get a great deal from Bobbi Brown Cosmetics plus  8.0% Cash Back  from Ebates!","bobbibrowncosmetics.com","https://www.ebates.com/luxury/all-stores.htm"
"kiehls","8.0%","8.0%","0.0%","8.0% Cash Back","Get a great deal from See all Kiehl's plus  8.0% Cash Back  from Ebates!","kiehls.com","https://www.ebates.com/luxury/all-stores.htm"
"lancome","8.0%","8.0%","0.0%","8.0% Cash Back","Get a great deal from See all Lancome plus  8.0% Cash Back  from Ebates!","lancome.com","https://www.ebates.com/luxury/all-stores.htm"
"sachinandbabi","8.0%","8.0%","0.0%","8.0% Cash Back","Get a great deal from See all Sachin & Babi plus  8.0% Cash Back  from Ebates!","sachinandbabi.com","https://www.ebates.com/luxury/all-stores.htm"
"petit-bateau","7.0%","7.0%","0.0%","7.0% Cash Back","Get a great deal from See all Petit Bateau plus  7.0% Cash Back  from Ebates!","petit-bateau.com","https://www.ebates.com/luxury/all-stores.htm"
"agjeans","6.0%","6.0%","0.0%","6.0% Cash Back","Get a great deal from See all AG Jeans plus  6.0% Cash Back  from Ebates!","agjeans.com","https://www.ebates.com/luxury/all-stores.htm"
"aliceolivia","6.0%","6.0%","0.0%","6.0% Cash Back","Get a great deal from See all Alice + Olivia plus  6.0% Cash Back  from Ebates!","aliceolivia.com","https://www.ebates.com/luxury/all-stores.htm"
"coach","6.0%","6.0%","0.0%","6.0% Cash Back","Get a great deal from See all Coach plus  6.0% Cash Back  from Ebates!","coach.com","https://www.ebates.com/luxury/all-stores.htm"
"esteelauder","6.0%","6.0%","0.0%","6.0% Cash Back","Get a great deal from See all Estée Lauder plus  6.0% Cash Back  from Ebates!","esteelauder.com","https://www.ebates.com/luxury/all-stores.htm"
"forzieri","6.0%","6.0%","0.0%","6.0% Cash Back","Get a great deal from See all Forzieri plus  6.0% Cash Back  from Ebates!","forzieri.com","https://www.ebates.com/luxury/all-stores.htm"
"nicolemiller","6.0%","6.0%","0.0%","6.0% Cash Back","Get a great deal from See all Nicole Miller plus  6.0% Cash Back  from Ebates!","nicolemiller.com","https://www.ebates.com/luxury/all-stores.htm"
"algenist","5.0%","5.0%","0.0%","5.0% Cash Back","Get a great deal from See all Algenist plus  5.0% Cash Back  from Ebates!","algenist.com","https://www.ebates.com/luxury/all-stores.htm"
"clarins","5.0%","5.0%","0.0%","5.0% Cash Back","Get a great deal from See all Clarins plus  5.0% Cash Back  from Ebates!","clarins.com","https://www.ebates.com/luxury/all-stores.htm"
"lecreuset","5.0%","5.0%","0.0%","5.0% Cash Back","Get a great deal from See all Le Creuset plus  5.0% Cash Back  from Ebates!","lecreuset.com","https://www.ebates.com/luxury/all-stores.htm"
"millyny","5.0%","5.0%","0.0%","5.0% Cash Back","Get a great deal from See all MILLY plus  5.0% Cash Back  from Ebates!","millyny.com","https://www.ebates.com/luxury/all-stores.htm"
"net-a-porter","5.0%","5.0%","0.0%","5.0% Cash Back","Get a great deal from See all NET-A-PORTER plus  5.0% Cash Back  from Ebates!","net-a-porter.com","https://www.ebates.com/luxury/all-stores.htm"
"perriconemd","5.0%","5.0%","0.0%","5.0% Cash Back","Get a great deal from See all Perricone MD plus  5.0% Cash Back  from Ebates!","perriconemd.com","https://www.ebates.com/luxury/all-stores.htm"
"pevonia","5.0%","5.0%","0.0%","5.0% Cash Back","Get a great deal from See all Pevonia plus  5.0% Cash Back  from Ebates!","pevonia.com","https://www.ebates.com/luxury/all-stores.htm"
