brand,cashback_today,cashback_historical,diff,offer,details,url,source
"lamer","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all La Mer plus  3.0% Cash Back  from Ebates!","lamer.com","https://www.ebates.com/luxury/all-stores.htm"
"michaelkors","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Michael Kors plus  3.0% Cash Back  from Ebates!","michaelkors.com","https://www.ebates.com/luxury/all-stores.htm"
"modaoperandi","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Moda Operandi plus  3.0% Cash Back  from Ebates!","modaoperandi.com","https://www.ebates.com/luxury/all-stores.htm"
"moschino","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Moschino plus  3.0% Cash Back  from Ebates!","moschino.com","https://www.ebates.com/luxury/all-stores.htm"
"mrporter","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all MR PORTER plus  3.0% Cash Back  from Ebates!","mrporter.com","https://www.ebates.com/luxury/all-stores.htm"
"mytheresa","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all mytheresa.com plus  3.0% Cash Back  from Ebates!","mytheresa.com","https://www.ebates.com/luxury/all-stores.htm"
"neimanmarcus","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Neiman Marcus plus  3.0% Cash Back  from Ebates!","neimanmarcus.com","https://www.ebates.com/luxury/all-stores.htm"
"theoutnet","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all The Outnet.com plus  3.0% Cash Back  from Ebates!","theoutnet.com","https://www.ebates.com/luxury/all-stores.htm"
"reissonline","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Reiss Online plus  3.0% Cash Back  from Ebates!","reissonline.com","https://www.ebates.com/luxury/all-stores.htm"
"shuuemura","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Shu Uemura plus  3.0% Cash Back  from Ebates!","shuuemura.com","https://www.ebates.com/luxury/all-stores.htm"
"theory","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Theory plus  3.0% Cash Back  from Ebates!","theory.com","https://www.ebates.com/luxury/all-stores.htm"
"thomaspink","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Thomas Pink plus  3.0% Cash Back  from Ebates!","thomaspink.com","https://www.ebates.com/luxury/all-stores.htm"
"philliplim","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all 3.1 Phillip Lim plus  3.0% Cash Back  from Ebates!","philliplim.com","https://www.ebates.com/luxury/all-stores.htm"
"7forallmankind","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all 7 For All Mankind plus  3.0% Cash Back  from Ebates!","7forallmankind.com","https://www.ebates.com/luxury/all-stores.htm"
"colehaan","2.5%","2.5%","0.0%","2.5% Cash Back","Get a great deal from See all Cole Haan plus  2.5% Cash Back  from Ebates!","colehaan.com","https://www.ebates.com/luxury/all-stores.htm"
"designwithinreach","2.5%","2.5%","0.0%","2.5% Cash Back","Get a great deal from See all Design Within Reach plus  2.5% Cash Back  from Ebates!","designwithinreach.com","https://www.ebates.com/luxury/all-stores.htm"
"marcjacobs","2.5%","2.5%","0.0%","2.5% Cash Back","Get a great deal from See all Marc Jacobs plus  2.5% Cash Back  from Ebates!","marcjacobs.com","https://www.ebates.com/luxury/all-stores.htm"
"ralphlauren","2.5%","2.5%","0.0%","2.5% Cash Back","Get a great deal from See all Ralph Lauren plus  2.5% Cash Back  from Ebates!","ralphlauren.com","https://www.ebates.com/luxury/all-stores.htm"
"spacenk","2.5%","2.5%","0.0%","2.5% Cash Back","Get a great deal from See all Space NK plus  2.5% Cash Back  from Ebates!","spacenk.com","https://www.ebates.com/luxury/all-stores.htm"
"toryburch","2.5%","2.5%","0.0%","2.5% Cash Back","Get a great deal from See all Tory Burch plus  2.5% Cash Back  from Ebates!","toryburch.com","https://www.ebates.com/luxury/all-stores.htm"
"tumiluggage","2.5%","2.5%","0.0%","2.5% Cash Back","Get a great deal from See all TUMI Luggage plus  2.5% Cash Back  from Ebates!","tumiluggage.com","https://www.ebates.com/luxury/all-stores.htm"
"allsaints","2.0%","2.0%","0.0%","2.0% Cash Back","Get a great deal from See all AllSaints plus  2.0% Cash Back  from Ebates!","allsaints.com","https://www.ebates.com/luxury/all-stores.htm"
"oscardelarenta2","2.0%","2.0%","0.0%","2.0% Cash Back","Get a great deal from See all Oscar de la Renta plus  2.0% Cash Back  from Ebates!","oscardelarenta2.com","https://www.ebates.com/luxury/all-stores.htm"
"renttherunway","2.0%","2.0%","0.0%","2.0% Cash Back","Get a great deal from See all Rent the Runway plus  2.0% Cash Back  from Ebates!","renttherunway.com","https://www.ebates.com/luxury/all-stores.htm"
"shopbop","2.0%","2.0%","0.0%","2.0% Cash Back","Get a great deal from See all Shopbop plus  2.0% Cash Back  from Ebates!","shopbop.com","https://www.ebates.com/luxury/all-stores.htm"
"totokaelo","1.5%","1.5%","0.0%","1.5% Cash Back","Get a great deal from See all Totokaelo plus  1.5% Cash Back  from Ebates!","totokaelo.com","https://www.ebates.com/luxury/all-stores.htm"
"yoox","1.5%","1.5%","0.0%","1.5% Cash Back","Get a great deal from See all YOOX plus  1.5% Cash Back  from Ebates!","yoox.com","https://www.ebates.com/luxury/all-stores.htm"
"anthropologie","1.0%","1.0%","0.0%","1.0% Cash Back","Get a great deal from See all Anthropologie plus  1.0% Cash Back  from Ebates!","anthropologie.com","https://www.ebates.com/luxury/all-stores.htm"
"bluenile","1.0%","1.0%","0.0%","1.0% Cash Back","Get a great deal from See all Blue Nile plus  1.0% Cash Back  from Ebates!","bluenile.com","https://www.ebates.com/luxury/all-stores.htm"
"lululemon","1.0%","1.0%","0.0%","1.0% Cash Back","Get a great deal from See all Lululemon plus  1.0% Cash Back  from Ebates!","lululemon.com","https://www.ebates.com/luxury/all-stores.htm"
"nordstromrack","1.0%","1.0%","0.0%","1.0% Cash Back","Get a great deal from See all Nordstrom Rack plus  1.0% Cash Back  from Ebates!","nordstromrack.com","https://www.ebates.com/luxury/all-stores.htm"
"tedbaker-london","1.0%","1.0%","0.0%","1.0% Cash Back","Get a great deal from See all Ted Baker plus  1.0% Cash Back  from Ebates!","tedbaker-london.com","https://www.ebates.com/luxury/all-stores.htm"
"Macy's","2.5%","2.5%","0.0%","2.5% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Splendid","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"American Eagle Outfitters","2.0%","2.0%","0.0%","2.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Petco","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"buybuy BABY","2.0%","2.0%","0.0%","2.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Saks Fifth Avenue","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"John Varvatos","5.0%","5.0%","0.0%","5.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Men's Wearhouse","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"The Body Shop","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Jos. A. Bank","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Johnston & Murphy","5.0%","5.0%","0.0%","5.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Cost Plus World Market","2.0%","2.0%","0.0%","2.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Moosejaw","5.0%","5.0%","0.0%","5.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Bed Bath and Beyond","2.0%","2.0%","0.0%","2.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Fashion to Figure","2.5%","2.5%","0.0%","2.5% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"GNC","5.0%","5.0%","0.0%","5.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Crate and Barrel","1.0%","1.0%","0.0%","1.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"CB2","1.0%","1.0%","0.0%","1.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Lord & Taylor","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Saks OFF 5TH","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Rebecca Taylor","3.5%","3.5%","0.0%","3.5% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Tervis","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"New York & Company","2.5%","2.5%","0.0%","2.5% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Plow and Hearth","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"MAC Cosmetics","3.0%","3.0%","0.0%","3.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Claim Jumper","10.0%","10.0%","0.0%","10.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Saltgrass Steak House","10.0%","10.0%","0.0%","10.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"G.H. Bass and Co.","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Club Monaco","2.5%","2.5%","0.0%","2.5% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Gap","2.0%","2.0%","0.0%","2.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"EXPRESS","2.5%","2.5%","0.0%","2.5% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Ann Taylor","2.0%","2.0%","0.0%","2.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"charming charlie","1.0%","1.0%","0.0%","1.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Clarks","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Charlotte Russe","2.0%","2.0%","0.0%","2.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Destination XL","2.5%","2.5%","0.0%","2.5% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Under Armour","3.0%","3.0%","0.0%","3.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Sunglass Hut","4.0%","4.0%","0.0%","4.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"INTERMIX","8.0%","8.0%","0.0%","8.0% In-Store Cash Back","","","https://www.ebates.com/in-store.htm"
"Simply Beverages®","$0.75","$0.75","0.0%","SAVE $0.75","on one (1) 59 or 89 fl. oz. carafe of Simply Lemonade® or Simply Juice Drinks®, any variety","","https://www.coupons.com/coupons/"
"Big G Cereals","$1.00","$1.00","0.0%","SAVE $1.00 ON TWO","when you buy TWO BOXES any flavor General Mills Big G or Nature Valley™ cereal: Cheerios™ • Cinnamon Toast Crunch™ • Chex™ ...","","https://www.coupons.com/coupons/"
"HUGGIES®","$3.00","$3.00","0.0%","GET $3.00 OFF","any ONE (1) package of HUGGIES® Diapers (Not valid on 9 ct. or less)","","https://www.coupons.com/coupons/"
"Ziploc®","$1.00","$1.00","0.0%","SAVE $1.00","on any TWO (2) Ziploc® brand bags","","https://www.coupons.com/coupons/"
"Scrubbing Bubbles®","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) Scrubbing Bubbles® bathroom cleaning product","","https://www.coupons.com/coupons/"
"HUGGIES®","$0.50","$0.50","0.0%","GET $0.50 OFF","any ONE (1) package of HUGGIES® Wipes (56-167 ct.)","","https://www.coupons.com/coupons/"
"HUGGIES®","$2.00","$2.00","0.0%","GET $2.00 OFF","any ONE (1) package of HUGGIES® Diapers (Not valid on 9 ct. or less)","","https://www.coupons.com/coupons/"
"Suave","$1.00","$1.00","0.0%","$1.00 OFF","any ONE (1) Suave® Professionals Gold product (includes Suave Professionals® Styling products)","","https://www.coupons.com/coupons/"
"Ziploc®","$1.00","$1.00","0.0%","SAVE $1.00","on any TWO (2) Ziploc® brand Slider Bags","","https://www.coupons.com/coupons/"
"KOTEX®","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) package of U by KOTEX® Products (not valid on Liners 14-22 ct. or trial size/travel packs)","","https://www.coupons.com/coupons/"
"Suave","$1.00","$1.00","0.0%","$1.00 OFF","any ONE (1) Suave® Professionals Silver or Green 28oz (includes Suave Professionals® Styling products)","","https://www.coupons.com/coupons/"
"Irish Spring®","$1.00","$1.00","0.0%","SAVE $1.00","On any Irish Spring® Body Wash (excludes Trial or Travel Size)","","https://www.coupons.com/coupons/"
"TURTLES®","$1.00","$1.00","0.0%","SAVE $1.00","off any TWO (2) TURTLES® bars (2.3oz or smaller)","","https://www.coupons.com/coupons/"
"Barilla® Pronto™","$0.75","$0.75","0.0%","SAVE $0.75","on any TWO (2) Barilla® Pronto™ Products","","https://www.coupons.com/coupons/"
"HORMEL® Brand","$1.00","$1.00","0.0%","SAVE $1.00","on the purchase of any two (2) HORMEL® Pepperoni products","","https://www.coupons.com/coupons/"
"OSCAR MAYER","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) OSCAR MAYER Natural Sausage Link product","","https://www.coupons.com/coupons/"
"Yoplait","$1.00","$1.00","0.0%","SAVE $1.00 ON ONE","when you buy any flavor Yoplait® Yogurt 8-Pack Fridge Pack","","https://www.coupons.com/coupons/"
"HUGGIES®","$1.50","$1.50","0.0%","GET $1.50 OFF","any TWO (2) packages of HUGGIES® Wipes (168 ct. or higher)","","https://www.coupons.com/coupons/"
"Cetaphil®","$2.00","$2.00","0.0%","$2.00 OFF","any 1 (one) Cetaphil® product (excludes trial/travel sizes and single bars)","","https://www.coupons.com/coupons/"
"Cetaphil®","$3.00","$3.00","0.0%","$3.00 OFF","any 1 (one) New Cetaphil® Facial Care product (excludes makeup remover wipes)","","https://www.coupons.com/coupons/"
"Scrubbing Bubbles®","$3.00","$3.00","0.0%","SAVE $3.00","on any ONE (1) Scrubbing Bubbles® Fresh Brush® Starter Kit and Caddy or any THREE (3) Fresh Brush® Refills","","https://www.coupons.com/coupons/"
"Schick® Disposable Razor Pack","$3.00","$3.00","0.0%","SAVE $3.00","on any ONE (1) Schick® Disposable Razor Pack (excludes 1 ct. and Schick® Slim Twin® 6 ct.)","","https://www.coupons.com/coupons/"
"Scrubbing Bubbles®","$2.00","$2.00","0.0%","SAVE $2.00","on any TWO (2) Scrubbing Bubbles® Toilet Cleaning Gel (excludes club pack)","","https://www.coupons.com/coupons/"
"Hellmann's or Best Foods","$0.75","$0.75","0.0%","$0.75 OFF","Any ONE (1) Hellmann’s or Best Foods Vegan Sandwich Spread or Organic Mayonnaise (Available in Original and 3 flavors)","","https://www.coupons.com/coupons/"
"SPLENDA®","$1.00","$1.00","0.0%","SAVE $1.00","on ONE (1) SPLENDA® Sweetener Product, any variety or size.","","https://www.coupons.com/coupons/"
"DINTY MOORE® Brand","$1.00","$1.00","0.0%","SAVE $1.00","on the purchase of any two (2) DINTY MOORE® products (excludes Trays)","","https://www.coupons.com/coupons/"
"Tidy Cats®","$2.00","$2.00","0.0%","SAVE $2.00","on one (1) package of Purina® Tidy Cats® LightWeight brand cat litter, any size, any variety","","https://www.coupons.com/coupons/"
"Glade®","$1.00","$1.00","0.0%","SAVE $1.00","on any TWO (2) Glade® products (excludes Glade® Solid Air Freshener and 8 oz. Room Spray)","","https://www.coupons.com/coupons/"
"Schick® Disposable Razor Packs","$5.00","$5.00","0.0%","SAVE $5.00","on any TWO (2) Schick® Disposable Razor Packs (excludes 1 ct. and Schick® Slim Twin® 6 ct.)","","https://www.coupons.com/coupons/"
"Adult ZYRTEC®","$4.00","$4.00","0.0%","SAVE $4.00","on any ONE (1) Adult ZYRTEC® product (24-30ct)","","https://www.coupons.com/coupons/"
"Pert®","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) Pert Shampoo plus Conditioner","","https://www.coupons.com/coupons/"
"L'Oreal Paris","$2.00","$2.00","0.0%","SAVE $2.00","on ANY ONE (1) L'Oreal Paris Skin Care product (excludes trial size)","","https://www.coupons.com/coupons/"
"BENADRYL®","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) Adult BENADRYL® product","","https://www.coupons.com/coupons/"
"L'Oreal Paris","$1.00","$1.00","0.0%","SAVE $1.00","on ANY ONE (1) L'Oreal Paris Hair Expert shampoo, conditioner or treatment product (excludes 3 oz. trial size)","","https://www.coupons.com/coupons/"
"PULL-UPS®","$2.00","$2.00","0.0%","GET $2.00 OFF","any ONE (1) PULL-UPS® Training Pants or GOODNITES® Bedtime Pants or Bed Mats (Not valid on 7 ct. or less)","","https://www.coupons.com/coupons/"
"HORMEL® NATURAL CHOICE® Brand","$0.50","$0.50","0.0%","SAVE $0.50","on the purchase of any one (1) HORMEL® NATURAL CHOICE® Deli Meat product","","https://www.coupons.com/coupons/"
"Hefty® Slider Bags","$1.00","$1.00","0.0%","SAVE $1.00","off TWO (2) packages of Hefty® Slider Bags (10 Ct. or Larger)","","https://www.coupons.com/coupons/"
"PAMPERS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Pampers® Swaddlers Diapers (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Cat Chow®","$1.05","$1.05","0.0%","SAVE $1.05","on one (1) 3.15lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety","","https://www.coupons.com/coupons/"
"Scotchgard","$1.00","$1.00","0.0%","$1.00 OFF","On Any ONE (1) Scotchgard Product","","https://www.coupons.com/coupons/"
"PAMPERS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Pampers® Baby Dry Diapers (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Ziploc®","$1.00","$1.00","0.0%","SAVE $1.00","on any TWO (2) Ziploc® brand containers","","https://www.coupons.com/coupons/"
"ARM & HAMMER™","$1.00","$1.00","0.0%","SAVE $1.00","on ONE (1) ARM & HAMMER™ Liquid Laundry Detergent","","https://www.coupons.com/coupons/"
"Adult RHINOCORT®","$6.00","$6.00","0.0%","SAVE $6.00","on any ONE (1) Adult RHINOCORT® product","","https://www.coupons.com/coupons/"
"Children's ZYRTEC®","$4.00","$4.00","0.0%","SAVE $4.00","on any ONE (1) Children's ZYRTEC® product","","https://www.coupons.com/coupons/"
"Gerber®","$1.00","$1.00","0.0%","SAVE $1.00","off any THREE (3) Gerber® Graduates® Puffs, Lil' Crunchies®, or Yogurt Melts™ items","","https://www.coupons.com/coupons/"
"Purina ONE®","$1.50","$1.50","0.0%","SAVE $1.50","on one (1) bag of Purina ONE® SmartBlend® dry dog food, any size, any variety","","https://www.coupons.com/coupons/"
"Beneful®","$3.00","$3.00","0.0%","SAVE $3.00","on one (1) bag of Purina® Beneful® Grain Free Dry Dog Food","","https://www.coupons.com/coupons/"
"Clorox® Bleach","$0.50","$0.50","0.0%","SAVE $0.50","on the purchase of ONE (1) Clorox® Bleach (Redeemable at Walmart)","","https://www.coupons.com/coupons/"
"M&Ms® Bottles","$0.50","$0.50","0.0%","SAVE $0.50","on ONE (1) M&Ms® Bottle","","https://www.coupons.com/coupons/"
"OFF!®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) OFF!® Mosquito Lamp I","","https://www.coupons.com/coupons/"
"Stevia In The Raw®","$1.50","$1.50","0.0%","SAVE $1.50","on one (1) Stevia In The Raw® 9.7oz Bakers Bag","","https://www.coupons.com/coupons/"
"Angel Soft®","$0.75","$0.75","0.0%","SAVE $0.75","off any ONE (1) package of Angel Soft® Bath Tissue, 12 Mega Roll, 24 Double Roll or larger (Available at Walmart)","","https://www.coupons.com/coupons/"
"Quilted Northern Ultra Soft & Strong®","$1.50","$1.50","0.0%","SAVE $1.50","off any ONE (1) package of Quilted Northern Ultra Soft & Strong®, 9 Mega Roll or 18 Mega Roll (Available at Walmart)","","https://www.coupons.com/coupons/"
"COVERGIRL®","$0.50","$0.50","0.0%","$0.50 OFF","ONE COVERGIRL Product (excludes Eye Products, Cheekers, accessories and trial/travel size)","","https://www.coupons.com/coupons/"
"Tyson®","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) Premium Selects Chicken (Available at Walmart)","","https://www.coupons.com/coupons/"
"COVERGIRL®","$0.50","$0.50","0.0%","$0.50 OFF","ONE COVERGIRL Eye Product (excludes 1-Kit Eyeshadows, Total Tease Mascara, accessories and trial/travel size)","","https://www.coupons.com/coupons/"
"Sugar In The Raw®","$.50","$.50","0.0%","SAVE $.50","on ONE (1) Sugar In The Raw® 100 Count Packet Box or 24oz. Bulk or Larger","","https://www.coupons.com/coupons/"
"Cat Chow®","$2.05","$2.05","0.0%","SAVE $2.05","on one (1) 13lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety","","https://www.coupons.com/coupons/"
"Gerber®","$1.00","$1.00","0.0%","SAVE $1.00","When you buy any FOUR (4) Gerber® 1st Foods, 2nd Foods, or 3rd Foods","","https://www.coupons.com/coupons/"
"LUVS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Luvs® Diapers (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"POISE®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) package of POISE® Pads (11 – 44 ct.)","","https://www.coupons.com/coupons/"
"Clorox Scentiva™","$0.75","$0.75","0.0%","SAVE $0.75","On any ONE (1) Clorox Scentiva™ Wipe or Spray Item (Redeemable at Walmart)","","https://www.coupons.com/coupons/"
"POISE®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) package of POISE® Liners (Not valid on 14-26 ct. Liners)","","https://www.coupons.com/coupons/"
"MOTRIN®","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) MOTRIN® or Children’s MOTRIN® product","","https://www.coupons.com/coupons/"
"PAMPERS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Pampers® Cruisers Diapers (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"OPTI-FREE® Solution","$2.00","$2.00","0.0%","SAVE $2.00","On Any ONE (1) OPTI-FREE® Solution (10oz or Larger) or OPTI-FREE® Rewetting Drop (10mL or Larger)","","https://www.coupons.com/coupons/"
"SECRET®","$1.50","$1.50","0.0%","$1.50 OFF","ONE Secret® Clinical Antiperspirant/Deodorant (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Gerber®","$0.75","$0.75","0.0%","SAVE $0.75","when you purchase any TWO (2) Gerber® Cereal products","","https://www.coupons.com/coupons/"
"TAMPAX®","$2.00","$2.00","0.0%","$2.00 OFF","TWO Tampax® Pearl Products (18 ct or larger) (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Glade®","$1.50","$1.50","0.0%","SAVE $1.50","on any ONE (1) Glade® Atmosphere Collection","","https://www.coupons.com/coupons/"
"Quilted Northern Ultra Soft & Strong®","$1.50","$1.50","0.0%","SAVE $1.50","off any ONE (1) package of Quilted Northern Ultra Soft & Strong®, 24 Double Roll (Available at Walmart)","","https://www.coupons.com/coupons/"
"Coppertone®","$3.00","$3.00","0.0%","SAVE $3.00","on any TWO (2) Coppertone® products (5 oz. or larger)","","https://www.coupons.com/coupons/"
"VENUS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Simply Venus® Disposable Razor Pack 4ct or larger","","https://www.coupons.com/coupons/"
"Snuggle® Plus SuperFresh™","$0.50","$0.50","0.0%","SAVE $0.50","On ONE (1) Snuggle® Plus SuperFresh™ Liquid (48.6 oz) or Sheets (105 ct) (Available at Walmart)","","https://www.coupons.com/coupons/"
"Kellogg's®","$2.00","$2.00","0.0%","SAVE $2.00","on any TWO Kellogg's® Special K® Protein Meal Bars and/or Protein Shakes","","https://www.coupons.com/coupons/"
"BOOST®","$1.50","$1.50","0.0%","SAVE $1.50","on any ONE (1) multipack or canister of BOOST® Nutritional Drink or Drink Mix","","https://www.coupons.com/coupons/"
"ALWAYS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Always® Radiant Pantiliners 48 ct or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Gerber®","$1.00","$1.00","0.0%","SAVE $1.00","When you purchase any FOUR (4) Gerber® Grabbers™ or Organic Pouches","","https://www.coupons.com/coupons/"
"VENUS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Venus® Original OR Embrace® Disposable Razor Pack 2ct or larger","","https://www.coupons.com/coupons/"
"OFF!®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) OFF!® Clip-On™ Mosquito Repellent Starter Kit","","https://www.coupons.com/coupons/"
"Clairol","$5.00","$5.00","0.0%","$5.00 OFF","TWO (2) boxes of Clairol Hair Color (excludes Age Defy, Balsam, Textures & Tones and trial/travel size)","","https://www.coupons.com/coupons/"
"Nicorette or NicoDerm","$10","$10","0.0%","SAVE $10","On any One (1) NicoDerm 14ct. or Nicorette product (72ct. or larger)","","https://www.coupons.com/coupons/"
"all® free clear","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) all® free clear liquid (141oz) or all® mighty pacs® (67ct) (Available at Walmart)","","https://www.coupons.com/coupons/"
"Bio-Oil®","$2.00","$2.00","0.0%","SAVE $2.00","On a 2 fl. oz. bottle of Bio-Oil® Located in Skincare and First Aid sections","","https://www.coupons.com/coupons/"
"Friskies®","$0.75","$0.75","0.0%","SAVE $0.75","on one (1) 3.15lb or larger bag of Purina® Friskies® brand dry cat food, any variety","","https://www.coupons.com/coupons/"
"Amopé® Pedi Perfect®","$15.00","$15.00","0.0%","$15.00 OFF","on any ONE (1) Amopé® Pedi Perfect® Wet and Dry™ Rechargeable Foot File","","https://www.coupons.com/coupons/"
"Nexium® 24HR","$2.00","$2.00","0.0%","$2.00 OFF","ONE (1) Nexium® 24HR","","https://www.coupons.com/coupons/"
"Carr’s®","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE Carr’s® Crackers","","https://www.coupons.com/coupons/"
"Windex®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) Windex® Outdoor Glass, Patio, and More! Product (excludes travel and trial sizes)","","https://www.coupons.com/coupons/"
"Persil®","$2.00","$2.00","0.0%","SAVE $2.00","on ONE Persil® ProClean® laundry detergent (75oz or larger)","","https://www.coupons.com/coupons/"
"Carnation Breakfast Essentials®","$2.00","$2.00","0.0%","SAVE $2.00","on any TWO (2) Carnation Breakfast Essentials® Powder Drink Mix Nutritional Products","","https://www.coupons.com/coupons/"
"Barilla® ProteinPLUS®","$0.75","$0.75","0.0%","SAVE $0.75","on any TWO (2) Barilla® ProteinPLUS® Products","","https://www.coupons.com/coupons/"
"all® OXI","$1.50","$1.50","0.0%","SAVE $1.50","on any ONE (1) all® OXI Liquid Laundry Detergent (184.5oz) (Available at Walmart)","","https://www.coupons.com/coupons/"
"Amopé® Pedi Perfect®","$10.00","$10.00","0.0%","$10.00 OFF","on any ONE (1) Amopé® Pedi Perfect® Electronic Foot File","","https://www.coupons.com/coupons/"
"Clairol","$2.00","$2.00","0.0%","$2.00 OFF","ONE (1) box of Clairol® Hair Color (excludes Age Defy, Balsam, Textures & Tones and trial/travel size)","","https://www.coupons.com/coupons/"
"Suave®","$1.00","$1.00","0.0%","$1.00 OFF","any ONE (1) Suave Professionals® Avocado & Olive Oil, Bamboo + Aloe Hair product or Luxe Infusions Styling Product","","https://www.coupons.com/coupons/"
"ARM & HAMMER™","$1.00","$1.00","0.0%","SAVE $1.00","on ONE (1) ARM & HAMMER™ Single-Dose Laundry Detergent","","https://www.coupons.com/coupons/"
