brand,cashback,offer,details,url,source,date_time
"Yoplait","50¢","SAVE 50¢ ON FIVE","when you buy FIVE CUPS any variety Yoplait® Yogurt (Includes Original, Light, Light Thick & Creamy, Thick & Creamy, Whips!®, ...","","https://www.coupons.com/coupons/",2017-05-03 17:04:17
"Simply Beverages®","$0.75","SAVE $0.75","on one (1) 59 or 89 fl. oz. carafe of Simply Lemonade® or Simply Juice Drinks®, any variety","","https://www.coupons.com/coupons/",2017-05-03 17:04:18
"HUGGIES®","$3.00","GET $3.00 OFF","any ONE (1) package of HUGGIES® Diapers (Not valid on 9 ct. or less)","","https://www.coupons.com/coupons/",2017-05-03 17:04:18
"Big G Cereals","$1.00","SAVE $1.00 ON TWO","when you buy TWO BOXES any flavor General Mills Big G or Nature Valley™ cereal: Cheerios™ • Cinnamon Toast Crunch™ • Chex™ ...","","https://www.coupons.com/coupons/",2017-05-03 17:04:18
"Ziploc®","$1.00","SAVE $1.00","on any TWO (2) Ziploc® brand bags","","https://www.coupons.com/coupons/",2017-05-03 17:04:18
"Nature Valley","50¢","SAVE 50¢ ON TWO","when you buy TWO BOXES any flavor/variety 5 COUNT OR LARGER Nature Valley™ Granola Bars OR Nature Valley™ Backpacker™ Chewy ...","","https://www.coupons.com/coupons/",2017-05-03 17:04:18
"General Mills Fruit Snacks","50¢","SAVE 50¢ ON TWO","when you buy TWO BOXES any flavor/variety Betty Crocker™ Fruit Shapes, Fruit by the Foot™, Fruit Gushers™ OR ...","","https://www.coupons.com/coupons/",2017-05-03 17:04:18
"Scrubbing Bubbles®","$1.00","SAVE $1.00","on any ONE (1) Scrubbing Bubbles® bathroom cleaning product","","https://www.coupons.com/coupons/",2017-05-03 17:04:19
"VELVEETA","50¢","SAVE 50¢","on any ONE (1) VELVEETA Loaf or Mini Blocks","","https://www.coupons.com/coupons/",2017-05-03 17:04:19
"HUGGIES®","$2.00","GET $2.00 OFF","any ONE (1) package of HUGGIES® Diapers (Not valid on 9 ct. or less)","","https://www.coupons.com/coupons/",2017-05-03 17:04:19
