brand,cashback,offer,details,url,source,date_time
"macys","6.0%","+ 6.0% Cash Back","Friends & Family - 30% off sitewide & 10% off beauty items.","macys.com","https://www.ebates.com/athleisure-deals.htm",2017-05-05 14:48:54
"newbalance","5.0%","+ 5.0% Cash Back","15% off $125 at NewBalance.com!","newbalance.com","https://www.ebates.com/athleisure-deals.htm",2017-05-05 14:48:54
"michaelkors","3.0%","+ 3.0% Cash Back","Stay Connected in style with the Michael Kors ACCESS Smartwatch.","michaelkors.com","https://www.ebates.com/athleisure-deals.htm",2017-05-05 14:48:54
"nike","9.5%","+ 9.5% Cash Back","Save 25% on the Nike Metcon 2 women's training shoe at Nike.com. No code required. Quantities limited.","nike.com","https://www.ebates.com/athleisure-deals.htm",2017-05-05 14:48:54
"lululemon","1.0%","+ 1.0% Cash Back","Shop Yoga clothes & Running Apparel for Women.","lululemon.com","https://www.ebates.com/athleisure-deals.htm",2017-05-05 14:48:54
"underarmour","3.0%","+ 3.0% Cash Back","Shop UA Women's Latest & Greatest + Free shipping Over $49.","underarmour.com","https://www.ebates.com/athleisure-deals.htm",2017-05-05 14:48:54
"puma","4.5%","+ 4.5% Cash Back","Up to 50% off sale.","puma.com","https://www.ebates.com/athleisure-deals.htm",2017-05-05 14:48:54
"athleta","4.0%","+ 4.0% Cash Back","Free Shipping on orders over $50 + Free returns.","athleta.com","https://www.ebates.com/athleisure-deals.htm",2017-05-05 14:48:54
"finishline","3.0%","+ 3.0% Cash Back","Our Spring Essentials Are Here: Shop All New Shoes, Clothes, and Accessories.","finishline.com","https://www.ebates.com/athleisure-deals.htm",2017-05-05 14:48:54
"medifastdiet","10.0%","+ 10.0% Cash Back","Spring Sale - 28% off Medifast Go + choose from over 65 meals for just $10.97/day with renewal.","medifastdiet.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"barneyswarehouse","3.0%","+ 3.0% Cash Back","New Season Sale - Up to 60% off men's clothing, accessories, shoes and more.","barneyswarehouse.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"weddingpaperdivas","2.0%","+ 2.0% Cash Back","Up to 25% off your wedding suite + $20 off your next ceremony & reception order.","weddingpaperdivas.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"dellsmallbusiness","10.0%","+ 10.0% Cash Back","37% off select servers.","dellsmallbusiness.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"clarisonic","4.0%","+ 4.0% Cash Back","Gift Mom - $40 off new Sonic foundation brush head + free shipping & personalized engraving.","clarisonic.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"puritanspride","5.0%","+ 5.0% Cash Back","Exclusive - 20% off + free shipping.","puritanspride.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"talbots","2.0%","+ 2.0% Cash Back","Friends & Family Event - Take 30% off everything.","talbots.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"macys","6.0%","+ 6.0% Cash Back","Extra 25% off registry gifts.","macys.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"beachbody","5.0%","+ 5.0% Cash Back","Get the best deal in fitness for only $99 and get all of Beachbody's world-class fitness programs for 1yr.","beachbody.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"gifts","18.0%","+ 18.0% Cash Back","Find the Perfect Mother's Day Gift - 15% off sitewide.","gifts.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"clarins","5.0%","+ 5.0% Cash Back","Great for Mom! Choose your free deluxe 6pc. gift with your $100 order, including 2 journals from Rifle Paper Co.","clarins.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"rosettastone","6.0%","+ 6.0% Cash Back","Give Mom the Gift of Another Language - $179 complete set.","rosettastone.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"kohls","6.0%","+ 6.0% Cash Back","Friends & Family Sale: 20% off sitewide.","kohls.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"neimanmarcus","3.0%","+ 3.0% Cash Back","Friends & Family Sale: 25% off your regular priced items.","neimanmarcus.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"groupon","6.0%","+ 6.0% Cash Back","$30 for $50 Banana Republic Factory Gift Card","groupon.htm","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
"saksfifthavenue","4.0%","+ 4.0% Cash Back","Sneak Peek Sale! Up to 40% OFF* incredible selections for women & men.","saksfifthavenue.com","https://www.ebates.com/deals.htm",2017-05-05 14:49:00
